"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Overall","g"
"211",90,80,80,60,71.25,95,95,100,90,100,8,14,13,15,63.2,61.65,79,68.5,87.65625,14,71.321875,"C"
"212",0,0,82.5,75,90,0,87,0,80,80,9,0,10,18,30.4,27,38,30,82.9,12.3333333333333,49.82,"F"
"213",77.5,100,92.5,65,90,78,97,95,80,100,8.5,10,17,18,40.8,65.7,51,73,88.75,15,67.325,"C-"
"214",90,77.5,100,90,100,83,100,100,100,100,6,9,16,7,54.4,58.05,68,64.5,95.375,10.6666666666667,69.9375,"C-"
"215",85,100,100,95,100,96,88,90,85,100,11,18,14,17,68,73.35,85,81.5,95.5714285714286,16.3333333333333,78.4964285714286,"C+"
"216",100,100,100,90,94,98,97,85,91,100,10,14,11,16,70.4,65.7,88,73,96.25,13.6666666666667,76.775,"C"
"217",75,85,92.5,55,51,68,76,80,80,100,8,9,10,17,68.8,63,86,70,76.4375,12,69.43125,"C-"
"218",88.5,0,0,100,85,99,90,85,79,100,11,16,13,19,68.8,69.3,86,77,89.5,16,75.7,"C"
"219",77.5,100,92.5,90,95,97,100,90,0,100,12,12,17,19,61.6,81.9,77,91,92.75,18,78.675,"C+"
"220",72.5,100,100,95,100,83,88,60,85,100,11,13,15,18,71.2,74.7,89,83,90.4375,15.3333333333333,77.98125,"C+"
"221",55,92.5,92.5,97.5,75,77,100,85,85,100,5,14,10.5,19,60.8,70.65,76,78.5,88.0625,14.5,73.41875,"C"
"222",90,90,90,90,90,93,67,0,0,100,9,18,0,0,69.6,61.2,87,68,87.1428571428571,13.5,72.5678571428571,"C"
"223",67.5,67.5,95,77.5,100,87.5,70,90,85,20,4,0,5,9,68.8,62.1,86,69,86.4285714285714,6,63.2785714285714,"C-"
"224",73.5,80,100,100,90,89,94,90,0,100,8,14,15,17,63.2,60.75,79,67.5,89.5625,15.3333333333333,71.84375,"C"
"225",92.5,100,100,30,100,100,100,85,75,100,11,5,0,20,63.6,44.1,79.5,49,94.0625,12,68.16875,"C-"
"226",65,50,72.5,90,80,0,0,62.5,0,40,10,13,10,0,65.6,63.45,82,70.5,70,11,60.675,"C-"
"227",92.5,100,100,90,100,99,99,87.5,100,100,7,16,16,11,48.8,53.1,61,59,97.5625,14.3333333333333,68.36875,"C-"
"228",88.5,92.5,95,60,85,0,0,100,0,100,7,0,8,7,56.8,49.95,71,55.5,86.8333333333333,7.33333333333333,65.225,"C-"
"229",72.5,100,77.5,45,89,90,90,75,65,100,6.5,10,15,13,57.6,54,72,60,82.375,12.6666666666667,66.0125,"C-"
"230",87.5,100,82.5,90,100,90,100,80,85,100,7,13,6,11,61.6,24.3,77,27,91.875,10.3333333333333,61.2625,"C-"
"231",77.5,77.5,95,100,99,92,80,87.5,85,100,4,8,13,12,61.6,44.1,77,49,91.2142857142857,11,66.6642857142857,"C-"
"232",73.5,72.5,60,0,80,0,0,60,0,100,8,10,8,0,68,49.5,85,55,69.2,8.66666666666667,62.81,"C-"
"233",100,85,92.5,100,90,99,0,100,100,100,8,18,20,17,61.2,80.1,76.5,89,95.8125,18.3333333333333,79.04375,"C+"
"234",94,100,100,100,100,98,100,100,100,100,12,15,14,17,71.2,77.85,89,86.5,99.75,15.3333333333333,81.65,"B-"
"235",97.5,100,97.5,100,100,86,100,90,100,100,11,18,13,18,62.4,80.1,78,89,98.125,16.3333333333333,79.7375,"B-"
"236",94.5,97,96,100,80,100,97,100,100,100,9,15,10,20,64,68.85,80,76.5,98.0625,15,76.79375,"C"
"237",92.5,100,100,98,100,98,86,100,98,100,12,15,10,16,66.4,72,83,80,98.3125,14.3333333333333,78.24375,"C+"
"238",100,100,100,65,95,94,100,95,100,100,12,10,16,18,70.4,80.1,88,89,98,15.3333333333333,81.55,"B-"
"239",100,85,100,100,100,99,97,80,95,100,12,18,19,20,80,84.6,100,94,97,19,85.45,"B"
"240",92.5,100,97.5,80,95,100,90,100,70,100,12,18,17,20,79.2,88.2,99,98,94.375,18.3333333333333,85.3625,"B"
"241",95,85,100,70,0,99,95,95,100,100,11,13,10,18,77.6,86.4,97,96,92.375,14,83.2125,"B"
"242",92.5,100,95,100,100,90,100,85,97.5,100,3,6,4,13,31.2,20.7,39,23,96.875,7.66666666666667,53.7625,"D"
"243",92.5,100,97.5,100,100,99,92,100,85,100,11,16,19,19,63.2,68.85,79,76.5,97.625,18,76.9125,"C"
"244",87.5,87.5,100,60,95,72,70,80,0,100,10,11,12,0,62.4,62.1,78,69,81.5,11,68.95,"C-"
"245",80,0,77.5,20,0,37,67,50,85,80,4,3,6,8,50.4,58.5,63,65,59.5,6,55.6,"D"
"246",82.5,95,90,77.5,100,95,84,85,100,100,10,16,16,15,46.4,61.2,58,68,91.4375,15.6666666666667,68.38125,"C-"
"247",82.5,97.5,75,50,42.5,86,61,85,100,100,7,11,7,16,55.2,49.95,69,55.5,79.625,13.5,63.5875,"C-"
"248",96,99,91.5,70,93,86,65,75,90,100,8,7,6,14,41.6,35.1,52,39,87.5625,9.66666666666667,57.86875,"D"
"249",75,85,100,100,100,99,90,90,80,100,11,15,19,19,70.4,82.8,88,92,93,17.6666666666667,81.15,"B-"
"250",92.5,100,100,90,100,99,100,95,100,100,11,14,15,13,66.4,70.2,83,78,98.3125,14,77.69375,"C+"
